fao_code,iso3_abbr,fao_name,vmap0_code,vmap0_name
304,-,Spratly Islands (disputed not listed),304,Spratly Islands
22,abw,Aruba,22,Aruba
2,afg,Afghanistan,2,Afghanistan
7,ago,Angola,7,Angola
258,aia,Anguilla,258,Anguilla
3,alb,Albania,3,Albania
6,and,Andorra,6,Andorra
151,ant,Netherlands Antilles,151,Netherlands Antilles
225,are,United Arab Emirates,225,United Arab Emirates
9,arg,Argentina,9,Argentina
1,arm,Armenia,1,Armenia
5,asm,American Samoa,5,American Samoa
300,ata,Antarctica (not listed),300,Antarctica
8,atg,Antigua and Barbuda,8,Antigua and Barbuda
10,aus,Australia,10,Australia and Christmas Island and Cocos (Keeling) Islands and Heard Island & McDonald Islands
11,aut,Austria,11,Austria
52,aze,Azerbaijan,52,Azerbaijan
29,bdi,Burundi,29,Burundi
255,bel,Belgium,255,Belgium
53,ben,Benin,53,Benin
233,bfa,Burkina Faso,233,Burkina Faso
16,bgd,Bangladesh,16,Bangladesh
27,bgr,Bulgaria,27,Bulgaria
13,bhr,Bahrain,13,Bahrain
12,bhs,Bahamas,12,Bahamas (The)
80,bih,Bosnia and Herzegovina,80,Bosnia and Herzegovina
57,blr,Belarus,57,Byelarus
23,blz,Belize,23,Belize
17,bmu,Bermuda,17,Bermuda
19,bol,Bolivia (Plurinational State of),19,Bolivia
21,bra,Brazil,21,Brazil
14,brb,Barbados,14,Barbados
26,brn,Brunei Darussalam,26,Brunei
18,btn,Bhutan,18,Bhutan
20,bwa,Botswana,20,Botswana
37,caf,Central African Republic,37,Central African Republic
33,can,Canada,33,Canada
211,che,Switzerland,211,Switzerland
259,chi,Channel Islands,259,Guernsey and Jersey
40,chl,Chile,40,Chile
351,chn,China,351,China and Paracel Islands
107,civ,Cote dIvoire,107,Ivory Coast
32,cmr,Cameroon,32,Cameroon
250,cod,Democratic Republic of the Congo,250,Zaire
46,cog,Congo,46,Congo
47,cok,Cook Islands,47,Cook Islands
44,col,Colombia,44,Colombia
45,com,Comoros,45,Comoros
35,cpv,Cape Verde,35,Cape Verde
48,cri,Costa Rica,48,Costa Rica
49,cub,Cuba,49,Cuba
36,cym,Cayman Islands,36,Cayman Islands
